"quiz_id","title","brand_name","language","question_number","question","correct_answer","num_options","options"
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","Nike","eng",1,"What is the standard distance of a marathon?","42.195 km",4,"26 km | 40 km | 42.195 km | 50 km"
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","Nike","eng",2,"Who broke the 2-hour marathon barrier in an unofficial 2019 event?","Eliud Kipchoge",4,"Eliud Kipchoge | Haile Gebrselassie | Kenenisa Bekele | Mo Farah"
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","Nike","eng",3,"Which major marathon is held on Patriots' Day?","Boston Marathon",4,"Berlin Marathon | Boston Marathon | London Marathon | Tokyo Marathon"
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","Nike","eng",4,"What Nike shoe technology is known for its carbon plate?","Vaporfly",4,"Air Max | Blazer | Free Run | Vaporfly"
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","Nike","eng",5,"How many marathons make up the World Marathon Majors?","Six",4,"Five | Four | Seven | Six"
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","Nike","eng",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","28",4,"32 | 28 | 20 | 29"
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","Nike","eng",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","90",4,"79 | 89 | 90 | 87"
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","Nike","eng",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",4,"Adidas | Hummel | Nike | Puma"
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","Nike","eng",4,"How old is Eerling Haaland?","26",4,"26 | 27 | 24 | 31"
"3f1c8e42-5a7d-4b19-9e63-c0d84f2a71b5","Chelsea FC Stadium and Museum Tour","Chelsea FC","eng",1,"In which year was Chelsea FC founded?","1905",4,"1887 | 1905 | 1919 | 1932"
"3f1c8e42-5a7d-4b19-9e63-c0d84f2a71b5","Chelsea FC Stadium and Museum Tour","Chelsea FC","eng",2,"What is the name of Chelsea FC's home stadium?","Stamford Bridge",4,"Anfield | Craven Cottage | Stamford Bridge | The Emirates"
"3f1c8e42-5a7d-4b19-9e63-c0d84f2a71b5","Chelsea FC Stadium and Museum Tour","Chelsea FC","eng",3,"Which animal features on the Chelsea FC club crest?","Lion",4,"Eagle | Lion | Rooster | Wolf"
"3f1c8e42-5a7d-4b19-9e63-c0d84f2a71b5","Chelsea FC Stadium and Museum Tour","Chelsea FC","eng",4,"Who is Chelsea FC's all-time leading goalscorer?","Frank Lampard",4,"Bobby Tambling | Didier Drogba | Frank Lampard | John Terry"
"3f1c8e42-5a7d-4b19-9e63-c0d84f2a71b5","Chelsea FC Stadium and Museum Tour","Chelsea FC","eng",5,"In which year did Chelsea FC win their first UEFA Champions League title?","2012",4,"2005 | 2008 | 2012 | 2021"
"0407abda-f3ef-5132-a97c-3e49b0b74855","Fotball-VM 2026","Nike","nor",1,"Hvor mange år har det gått siden sist Norge kvalifiserte seg til fotball-VM?","28",4,"32 | 28 | 20 | 29"
"0407abda-f3ef-5132-a97c-3e49b0b74855","Fotball-VM 2026","Nike","nor",2,"I hvilket minutt scoret Erling Haaland seiersmålet mot Brasil i VM 2026?","90",4,"79 | 89 | 90 | 87"
"0407abda-f3ef-5132-a97c-3e49b0b74855","Fotball-VM 2026","Nike","nor",3,"Hvilket merke er nåværende draktleverandør for det norske fotballandslaget?","Nike",4,"Adidas | Hummel | Nike | Puma"
"0407abda-f3ef-5132-a97c-3e49b0b74855","Fotball-VM 2026","Nike","nor",4,"Hvor gammel er Erling Haaland?","26",4,"26 | 27 | 24 | 31"
"3ea5fe6b-7d88-5abd-a9e2-01d78987e265","Zwiedzanie stadionu i muzeum Chelsea FC","Chelsea FC","pol",1,"W którym roku założono Chelsea FC?","1905",4,"1887 | 1905 | 1919 | 1932"
"3ea5fe6b-7d88-5abd-a9e2-01d78987e265","Zwiedzanie stadionu i muzeum Chelsea FC","Chelsea FC","pol",2,"Jak nazywa się stadion, na którym Chelsea FC gra swoje mecze domowe?","Stamford Bridge",4,"Anfield | Craven Cottage | Stamford Bridge | The Emirates"
"3ea5fe6b-7d88-5abd-a9e2-01d78987e265","Zwiedzanie stadionu i muzeum Chelsea FC","Chelsea FC","pol",3,"Jakie zwierzę widnieje w herbie klubu Chelsea FC?","Lew",4,"Kogut | Lew | Orzeł | Wilk"
"3ea5fe6b-7d88-5abd-a9e2-01d78987e265","Zwiedzanie stadionu i muzeum Chelsea FC","Chelsea FC","pol",4,"Kto jest najlepszym strzelcem w historii Chelsea FC?","Frank Lampard",4,"Bobby Tambling | Didier Drogba | Frank Lampard | John Terry"
"3ea5fe6b-7d88-5abd-a9e2-01d78987e265","Zwiedzanie stadionu i muzeum Chelsea FC","Chelsea FC","pol",5,"W którym roku Chelsea FC zdobyła swoje pierwsze trofeum Ligi Mistrzów UEFA?","2012",4,"2005 | 2008 | 2012 | 2021"
